food,store_name,addr,tel,re_rank1,re_rank2,re_rank3,re_rank4,re_rank5,re_visitor
간장게장,춘남식당,서울 마포구 성미산로 97 춘남식당,0507-1384-0693,음식이 맛있어요 35,재료가 신선해요 28,양이 많아요 24,친절해요 23,특별한 메뉴가 있어요 12,"꽃게탕 소자에 칼국수사리, 볶음밥을 추가해서 먹었어요! 연평도산 꽃게라 그런지 야들야들하고 부드러운 살이 꽉 차있더라구요❤️소 사이즈인데도 꽃게가 커서 양이 매우 많았어요!매운탕 국물은 칼칼하고 얼큰해서 요즘같이 추운 날씨에 딱 잘 어울려요>_< 밥이랑 게살이랑 비벼먹으면 밥 한 공기 뚝딱하는 밥도둑!국물이 워낙 맛있어서 칼국수랑 볶음밥도 맛도리였습니다!! 이정도 퀄리티의 꽃게탕을 이렇게 저렴한 가격대에 맛볼 수 있다니….❤️이번 겨울에 제 최애 단골집이 될 것 같습니다❤️"
간장게장,장안동 먹깨비 간장게장 해물아구찜,서울 동대문구 장한로 92 1층,0507-1393-2158,음식이 맛있어요 456,친절해요 225,재료가 신선해요 202,양이 많아요 164,매장이 넓어요 115,남친 부모님이 매운걸 못드셔서 안맵게로 부탁 존나 맵게해야 더 맛있을듯 이모님 사장님 다 친절하심 잘 먹었어요ㅋㅎ
간장게장,예담밥상,서울 광진구 동일로22길 13,0507-1443-0073,음식이 맛있어요 96,재료가 신선해요 52,친절해요 42,비싼 만큼 가치있어요 33,차분한 분위기에요 30,"🦀간장게장과 갈비가 같이 나오는 특선을 추천 해주셔서 먹었습니다~ ^^ 확실히 찬들이랑, 갈비까지 나오니까 든든하게 먹을 수 있어서 좋았네요~ 게장 알이 엄청 많고 살도 튼실하게 들어 있어요. 간장게장 전문점 보다는 훨씬 가성비는 좋은 듯 합니다~ 부모님이 좋아하셨어요~ 같이 나온 돌솥밥이 개인적으로 정말 좋았습니다 ^^ 추천 입니다~"
간장게장,명현만간장게장무한리필,서울 마포구 양화로 45 메세나폴리스 123호~129호,0507-1302-3837,음식이 맛있어요 677,재료가 신선해요 385,친절해요 370,양이 많아요 328,가성비가 좋아요 315,명현만의 간장게장 합정점! 평소 명현만 선수의 팬이었다면 더욱 좋을 것 같아요! 가게가 명현만 선수를 똑 닮았슴다. 음식에 정말 진심이고 정말 남자다운 담백한 간장게장 맛집이에요. 머슴같은 가성비 넘치는 양과 맛이 일품이고 간장게장 전문점에 비교해도 충분히 맛있는 간장게장 맛집입니다. 살도 가득차있고 명현만 선수가 직접 서빙하면서 친절한 서비스도 정말 좋았습니다. 완전 강추에요!
간장게장,진미식당,서울 마포구 마포대로 186-6,02-3211-4468,음식이 맛있어요 364,재료가 신선해요 180,특별한 메뉴가 있어요 105,친절해요 73,특별한 날 가기 좋아요 41,맛있어요~예약이 힘들었는데 다행히 성공했어요ㅋ 들어가서 앉고 거의바로 음식이나왔어요짜지않고 살도 꽉차고 알까지 차있는 게장이 너무 맛났어요!
간장게장,본가진미간장게장,서울 송파구 백제고분로 420 1층,0507-1342-5081,음식이 맛있어요 754,재료가 신선해요 431,친절해요 347,매장이 넓어요 230,양이 많아요 206,"방이동 간장게장 최고 맛집이에요 !! 암꽃게 간장모듬장이랑 양념모듬장 하나씩 주문해서 먹었는데,저는 간장게장이, 남치니는 양념게장이 맛있었어요 >_< !! 저는 양념모듬장이 꽤나 맵더라구요,,게장만 나오는게 아니라 연어장 전복장 소라장 새우장도 같이 나와서 질리지 않고 맛있게 먹을수 있답니다단체테이블도 있어서 회식이나 가족외식으로 방문하기에도 좋을거 같아요 ~주차도 가능합니다 !! 서울 간장게장 제일 맛집 강추합니다"
간장게장,보스 간장게장 서울식물원점,서울 강서구 마곡동로 161 서울식물원 4층,0507-1377-1201,음식이 맛있어요 97,매장이 넓어요 53,재료가 신선해요 51,뷰가 좋아요 36,친절해요 35,퇴근후 찾은 서울식물원 저녁메뉴 고민하다 서울식물원 맛집 보스간장게장을 갔다 알베기 게장과 굴비 정식을 시켰는데 잘차려진 한상이라 기분좋았고 게장이 짜지않고 맛있었다🥹 정식으로 나온 떡갈비도 고기결이 느껴졌고 만족스러운 저녁이었다 부모님 모시고 가기 좋은곳!
간장게장,장안동 먹깨비 간장게장 해물아구찜,서울 동대문구 장한로 92 1층,0507-1393-2158,음식이 맛있어요 456,친절해요 225,재료가 신선해요 202,양이 많아요 164,매장이 넓어요 115,남친 부모님이 매운걸 못드셔서 안맵게로 부탁 존나 맵게해야 더 맛있을듯 이모님 사장님 다 친절하심 잘 먹었어요ㅋㅎ
간장게장,순미네행복게장 동대문점,서울 중구 을지로43길 38 2층 순미네행복게장,0507-1400-2059,음식이 맛있어요 214,가성비가 좋아요 115,재료가 신선해요 110,친절해요 93,매장이 넓어요 90,"동대문에 이런 게장 맛집이 있었다니..ㅎ 숫게장정식 은 깔끔하고, 양념게장은 살짝 매콤한게 아주아주 맛있더라구요. 반찬으로 맛배기 새우장이랑 소금구이도 나왔는데, 왜 새우장 맛있단 리뷰가 그렇게나 많았는지 제대로 이해됐구요. 그리고 여자화장실에 양치도구까지...사장님 센스 최고에요😀👍"
간장게장,레알 간장게장 무한리필 본점,서울 강북구 덕릉로41길 42 1층 레알 간장게장 무한리필 본점,0507-1367-0378,음식이 맛있어요 313,가성비가 좋아요 194,재료가 신선해요 191,양이 많아요 170,친절해요 162,"수유 간장게장 맛집이에요!~ 암게를 무한리필로 양념과 간장 두 가지 다 먹을 수 있습니다. 매장이 깔끔하고 넓고, 셀프바도 있고 밑반찬도 다양해서 푸짐한 한 상을 먹고 왔어요~ 새우장도 넘 맛있고 게장에 밥 비벼서 먹으면 완전 꿀맛이라 수유역 맛집으로 추천해요!~💓💓"
