기준년월,지자체,방문자 구분,방문자수
202301,서울특별시,현지인방문자(a),1.4307482E8
202301,서울특별시,외지인방문자(b),4.7059016E7
202301,서울특별시,외국인방문자(c),196700.0
202301,서울특별시,외부방문자(b+c),4.7255715E7
202301,서울특별시,전체방문자(a+b+c),1.90330535E8
202301,부산광역시,현지인방문자(a),4.7114876E7
202301,부산광역시,외지인방문자(b),1.316168E7
202301,부산광역시,외국인방문자(c),18383.0
202301,부산광역시,외부방문자(b+c),1.3180063E7
202301,부산광역시,전체방문자(a+b+c),6.0294939E7
202301,대구광역시,현지인방문자(a),3.7366308E7
202301,대구광역시,외지인방문자(b),9140509.0
202301,대구광역시,외국인방문자(c),6791.0
202301,대구광역시,외부방문자(b+c),9147300.0
202301,대구광역시,전체방문자(a+b+c),4.6513608E7
202301,인천광역시,현지인방문자(a),3.91918E7
202301,인천광역시,외지인방문자(b),1.407959E7
202301,인천광역시,외국인방문자(c),242243.0
202301,인천광역시,외부방문자(b+c),1.4321833E7
202301,인천광역시,전체방문자(a+b+c),5.3513633E7
202301,광주광역시,현지인방문자(a),2.2421816E7
202301,광주광역시,외지인방문자(b),5699004.0
202301,광주광역시,외국인방문자(c),2383.0
202301,광주광역시,외부방문자(b+c),5701387.0
202301,광주광역시,전체방문자(a+b+c),2.8123203E7
202301,대전광역시,현지인방문자(a),2.2916453E7
202301,대전광역시,외지인방문자(b),6835395.0
202301,대전광역시,외국인방문자(c),5643.0
202301,대전광역시,외부방문자(b+c),6841038.0
202301,대전광역시,전체방문자(a+b+c),2.9757491E7
202301,울산광역시,현지인방문자(a),1.7156881E7
202301,울산광역시,외지인방문자(b),4227856.0
202301,울산광역시,외국인방문자(c),3318.0
202301,울산광역시,외부방문자(b+c),4231174.0
202301,울산광역시,전체방문자(a+b+c),2.1388055E7
202301,세종특별자치시,현지인방문자(a),5384855.0
202301,세종특별자치시,외지인방문자(b),2244179.0
202301,세종특별자치시,외국인방문자(c),1709.0
202301,세종특별자치시,외부방문자(b+c),2245888.0
202301,세종특별자치시,전체방문자(a+b+c),7630743.0
202301,경기도,현지인방문자(a),1.96751604E8
202301,경기도,외지인방문자(b),4.8846553E7
202301,경기도,외국인방문자(c),79577.0
202301,경기도,외부방문자(b+c),4.892613E7
202301,경기도,전체방문자(a+b+c),2.45677734E8
202301,충청북도,현지인방문자(a),2.4605994E7
202301,충청북도,외지인방문자(b),8619737.0
202301,충청북도,외국인방문자(c),10583.0
202301,충청북도,외부방문자(b+c),8630320.0
202301,충청북도,전체방문자(a+b+c),3.3236314E7
202301,충청남도,현지인방문자(a),3.28414E7
202301,충청남도,외지인방문자(b),1.2629928E7
202301,충청남도,외국인방문자(c),27778.0
202301,충청남도,외부방문자(b+c),1.2657707E7
202301,충청남도,전체방문자(a+b+c),4.5499106E7
202301,전라북도,현지인방문자(a),3.0700873E7
