,food,store_name,addr,tel,re_rank1,re_rank2,re_rank3,re_rank4,re_rank5,re_visitor
0,간장게장,춘남식당,서울 마포구 성미산로 97 춘남식당,0507-1384-0693,음식이 맛있어요 35,재료가 신선해요 28,양이 많아요 24,친절해요 23,특별한 메뉴가 있어요 12,"꽃게탕 소자에 칼국수사리, 볶음밥을 추가해서 먹었어요! 연평도산 꽃게라 그런지 야들야들하고 부드러운 살이 꽉 차있더라구요소 사이즈인데도 꽃게가 커서 양이 매우 많았어요!매운탕 국물은 칼칼하고 얼큰해서 요즘같이 추운 날씨에 딱 잘 어울려요>_< 밥이랑 게살이랑 비벼먹으면 밥 한 공기 뚝딱하는 밥도둑!국물이 워낙 맛있어서 칼국수랑 볶음밥도 맛도리였습니다!! 이정도 퀄리티의 꽃게탕을 이렇게 저렴한 가격대에 맛볼 수 있다니….이번 겨울에 제 최애 단골집이 될 것 같습니다"
1,간장게장,장안동 먹깨비 간장게장 해물아구찜,서울 동대문구 장한로 92 1층,0507-1393-2158,음식이 맛있어요 456,친절해요 225,재료가 신선해요 202,양이 많아요 164,매장이 넓어요 115,남친 부모님이 매운걸 못드셔서 안맵게로 부탁 존나 맵게해야 더 맛있을듯 이모님 사장님 다 친절하심 잘 먹었어요ㅋㅎ
2,간장게장,예담밥상,서울 광진구 동일로22길 13,0507-1443-0073,음식이 맛있어요 96,재료가 신선해요 52,친절해요 42,비싼 만큼 가치있어요 33,차분한 분위기에요 30,"간장게장과 갈비가 같이 나오는 특선을 추천 해주셔서 먹었습니다~ ^^ 확실히 찬들이랑, 갈비까지 나오니까 든든하게 먹을 수 있어서 좋았네요~ 게장 알이 엄청 많고 살도 튼실하게 들어 있어요. 간장게장 전문점 보다는 훨씬 가성비는 좋은 듯 합니다~ 부모님이 좋아하셨어요~ 같이 나온 돌솥밥이 개인적으로 정말 좋았습니다 ^^ 추천 입니다~"
3,간장게장,명현만간장게장무한리필,서울 마포구 양화로 45 메세나폴리스 123호~129호,0507-1302-3837,음식이 맛있어요 677,재료가 신선해요 385,친절해요 370,양이 많아요 328,가성비가 좋아요 315,명현만의 간장게장 합정점! 평소 명현만 선수의 팬이었다면 더욱 좋을 것 같아요! 가게가 명현만 선수를 똑 닮았슴다. 음식에 정말 진심이고 정말 남자다운 담백한 간장게장 맛집이에요. 머슴같은 가성비 넘치는 양과 맛이 일품이고 간장게장 전문점에 비교해도 충분히 맛있는 간장게장 맛집입니다. 살도 가득차있고 명현만 선수가 직접 서빙하면서 친절한 서비스도 정말 좋았습니다. 완전 강추에요!
4,간장게장,진미식당,서울 마포구 마포대로 186-6,02-3211-4468,음식이 맛있어요 364,재료가 신선해요 180,특별한 메뉴가 있어요 105,친절해요 73,특별한 날 가기 좋아요 41,맛있어요~예약이 힘들었는데 다행히 성공했어요ㅋ 들어가서 앉고 거의바로 음식이나왔어요짜지않고 살도 꽉차고 알까지 차있는 게장이 너무 맛났어요!
5,간장게장,본가진미간장게장,서울 송파구 백제고분로 420 1층,0507-1342-5081,음식이 맛있어요 754,재료가 신선해요 431,친절해요 347,매장이 넓어요 230,양이 많아요 206,"방이동 간장게장 최고 맛집이에요 !! 암꽃게 간장모듬장이랑 양념모듬장 하나씩 주문해서 먹었는데,저는 간장게장이, 남치니는 양념게장이 맛있었어요 >_< !! 저는 양념모듬장이 꽤나 맵더라구요,,게장만 나오는게 아니라 연어장 전복장 소라장 새우장도 같이 나와서 질리지 않고 맛있게 먹을수 있답니다단체테이블도 있어서 회식이나 가족외식으로 방문하기에도 좋을거 같아요 ~주차도 가능합니다 !! 서울 간장게장 제일 맛집 강추합니다"
6,간장게장,보스 간장게장 서울식물원점,서울 강서구 마곡동로 161 서울식물원 4층,0507-1377-1201,음식이 맛있어요 97,매장이 넓어요 53,재료가 신선해요 51,뷰가 좋아요 36,친절해요 35,퇴근후 찾은 서울식물원 저녁메뉴 고민하다 서울식물원 맛집 보스간장게장을 갔다 알베기 게장과 굴비 정식을 시켰는데 잘차려진 한상이라 기분좋았고 게장이 짜지않고 맛있었다 정식으로 나온 떡갈비도 고기결이 느껴졌고 만족스러운 저녁이었다 부모님 모시고 가기 좋은곳!
7,간장게장,장안동 먹깨비 간장게장 해물아구찜,서울 동대문구 장한로 92 1층,0507-1393-2158,음식이 맛있어요 456,친절해요 225,재료가 신선해요 202,양이 많아요 164,매장이 넓어요 115,남친 부모님이 매운걸 못드셔서 안맵게로 부탁 존나 맵게해야 더 맛있을듯 이모님 사장님 다 친절하심 잘 먹었어요ㅋㅎ
8,간장게장,순미네행복게장 동대문점,서울 중구 을지로43길 38 2층 순미네행복게장,0507-1400-2059,음식이 맛있어요 214,가성비가 좋아요 115,재료가 신선해요 110,친절해요 93,매장이 넓어요 90,"동대문에 이런 게장 맛집이 있었다니..ㅎ 숫게장정식 은 깔끔하고, 양념게장은 살짝 매콤한게 아주아주 맛있더라구요. 반찬으로 맛배기 새우장이랑 소금구이도 나왔는데, 왜 새우장 맛있단 리뷰가 그렇게나 많았는지 제대로 이해됐구요. 그리고 여자화장실에 양치도구까지...사장님 센스 최고에요"
9,간장게장,레알 간장게장 무한리필 본점,서울 강북구 덕릉로41길 42 1층 레알 간장게장 무한리필 본점,0507-1367-0378,음식이 맛있어요 313,가성비가 좋아요 194,재료가 신선해요 191,양이 많아요 170,친절해요 162,"수유 간장게장 맛집이에요!~ 암게를 무한리필로 양념과 간장 두 가지 다 먹을 수 있습니다. 매장이 깔끔하고 넓고, 셀프바도 있고 밑반찬도 다양해서 푸짐한 한 상을 먹고 왔어요~ 새우장도 넘 맛있고 게장에 밥 비벼서 먹으면 완전 꿀맛이라 수유역 맛집으로 추천해요!~"
10,간장게장,장지녕 간장게장,서울 용산구 독서당로 46 한남아이파크 지하 1층,02-794-7737,음식이 맛있어요 441,재료가 신선해요 206,친절해요 158,매장이 넓어요 136,특별한 메뉴가 있어요 129,"알이 없을 뿐이지 속은 찬 숫게 였는데, 비리지 않고 짜지 않은 맛난 간장게장은 처음 먹어 보네요 ㅎ쭈꾸미볶음도 불향과 감칠맛이 나구요.맡반찬도 모두 맛있었어요.양념게장 양념만 조금 매운 맛이었네요."
11,간장게장,일미간장게장,서울 동대문구 장한로24길 7,02-2242-4338,음식이 맛있어요 332,재료가 신선해요 97,매장이 넓어요 77,친절해요 60,특별한 메뉴가 있어요 57,"맛집인정~~^^가끔가는곳이지만 맛집은 맞네요.직원들과 한잔했습니다.답십리돈텔마마 현빈 이 강추합니다.간장게장,양념게장,하얀게,새우장 맛있습니다.최고~~^^"
12,간장게장,홍대간장게장 홍일품,서울 마포구 독막로 47-1 홍일품간장게장무한리필.암게정식전문점,02-335-1831,음식이 맛있어요 1191,친절해요 731,재료가 신선해요 689,가성비가 좋아요 689,양이 많아요 673,"와 홍대에서 간장게장 무한리필을 먹게될 줄은 몰랐는데 유명해서 와봤어요! 저희는 6시에 도착했는데 4-5시까지 브레이크 타임이었더라구요! 타이밍 좋게 마지막 테이블로 들어와서 그 뒤에 웨이팅,,, 양념도 매콤하게 맛있고 살이 진짜 신선해요! 간장게장은 많이 안짜서 밥 없이도 먹을 수 있을 정도로 맛있었습니다,, 꽃게탕 라면사리 진짜 꽃게탕 적당히 끓여먹다가 라면사리 꼭 드세요 살짝 덜익었나 싶을 때 호로록 먹으면 진짜 새로 시작,, 게껍데기만 버리는 통 잘 확인하시구 다들 야무지게 드세요! 추천합니다!"
13,간장게장,수라간,서울 마포구 동교로38안길 3 1층,0507-1330-4335,음식이 맛있어요 497,친절해요 282,재료가 신선해요 176,양이 많아요 145,매장이 청결해요 98,닭볶음탕이 정말 맛있었어요 감자도 제대로 푹 익혀 나와서 포슬포슬하고 양념도 진하고 달달 매콤한게 너모 매력적이라 밥한그릇 뚝딱하기 딱이예요  꼬막밥은 노오란 강황밥에 참기름향이 향긋 고소하고 꼬막이 비리지 않고 신선하고 해감이 잘 되어 있어서 좋얐구요 기본찬도 깔끔 정갈했어요 가성비 좋은 고급스런 한식 찐맛집이예용
14,간장게장,산들해 송파점,서울 송파구 위례성대로 6 현대토픽스 2층,02-448-3457,음식이 맛있어요 1029,매장이 넓어요 365,단체모임 하기 좋아요 352,재료가 신선해요 343,친절해요 296,"보는 반찬 아닌 먹는 반찬으로 푸짐한 한정식이 생각나면 가는 곳.따끈한 돌솥밥에 통통 갈치와 조기구이, 등딱지 있는 간장게장, 양배추쌈, 김, 샐러드, 잡채, 콩비지, 따뜻한 전, 가지 나물, 오이 무침 등호불호 없는 음식으로만 나와요.다 리필도 된다는데 이미 많이 줘요.점심 피크타임에 도착해 기다리니너무 시끄럽고 울려 정신이 없었지만한시 반 넘어가니 좀 진정(?)이 되더라구요.밥이 맛있어서 불편함도 잊을 정도.주차는 지하5층까지만 잘 내려가면키 받아서 기계주차 해주세요.나물 도시락(?) 보고 주문해와봤는데재료는 좋고 간은 기본간으로만슴슴하니 설탕 노노.어르신들도 드시기 딱 좋아요. 며칠 동안 비빔밥처럼 잘 먹었어요.이런 좋은 한정식 먹게 해주셔서 감사해요!"
15,간장게장,한가람 본점,서울 중구 남대문로5길 25,0507-1347-3088,음식이 맛있어요 952,친절해요 500,재료가 신선해요 473,양이 많아요 278,가성비가 좋아요 219,"The Korean Home-style restaurant specializes in well-being Korean food and listed on Blue Ribbon Survey 2023.The owner Chef, Mr. BongChan Kim is accredited for Master of Korean Cuisine and puts his heart into the Globalization of Korean FoodIt is walking distance from Marriott Hotels of Westin Josun, Plaza Authograph, and Courtyard Namdaemun.It is healthy and tasteful dining and recommendable"
16,간장게장,옹기꽃게장,서울 도봉구 도봉산4가길 14-9,02-3493-8201,음식이 맛있어요 661,친절해요 306,가성비가 좋아요 289,양이 많아요 244,재료가 신선해요 202,간장게장 양념게장 너무먹고싶어서 엄마랑갔어여간장게장 너무 맛있었고 남은 게장 포장해갔어여직원들친절하세요ㅋㅋ
17,간장게장,필녀의 한정식,서울 송파구 동남로 308 KOBA빌딩,0507-1446-5560,음식이 맛있어요 246,재료가 신선해요 141,친절해요 107,양이 많아요 82,단체모임 하기 좋아요 80,평일점심 힌정 필정식 2만 3천원 먹었는데이렇게 잘나와요 게다가 음식이 모두 순하면서맛깔나요 플레이팅도 간결하고 가성비 훌륭공간도 넒고 쾌적 여러 단체모임이나 회식 돌잔치상견례 기념일 등 추천해요 주차가능#참멋맛기행
18,간장게장,양반댁,서울 종로구 인사동길 19-18 양반댁,02-733-5507,음식이 맛있어요 194,친절해요 74,재료가 신선해요 52,단체모임 하기 좋아요 41,차분한 분위기에요 32,친절하고 정갈한 한정식 식당 가야할때 인사동 맛집 양반댁 강추 이모님들 너무 친절하시고 위치도 딱 인사동 초입에 있어서 편했어요. 간장게장과 돼지갈비정식 먹었는데 딱 한정식반찬들 나와서 넘 좋았구 솥밥에 누룽지도 맛나고 기분좋은 점심식사 했습니다. 사람들 만나기도 좋고 대접하기 좋아요
19,간장게장,연평도꽃게아구낙지,서울 성동구 마장로 323,02-2294-6565,음식이 맛있어요 379,재료가 신선해요 235,친절해요 172,매장이 넓어요 132,양이 많아요 129,"마장동 꽃게골목 중에서도 제가 제일 좋아하는 집입니다. 일단 옆집들은 거의 11:00에 여는데 여기는 10:00에 열구요, 재료릉 아낌없이 쓰신다는 느낌이 드네요. 오늘은 꽃게탕을 시켰는데 양념게장을 서비스로 주셨습니다. 맛있습니다. 추천."
20,간장게장,라메흐꺄도,서울 영등포구 선유로17길 24 신일아르디세 1층,0507-1379-5989,음식이 맛있어요 315,재료가 신선해요 129,친절해요 99,매장이 넓어요 82,매장이 청결해요 74,영등포 최고의 게장집!양념게장 먹으러 가끔 가는? 이날은 게장이 좀 비렸음 ㅜ반찬도 줄은듯 ..
