기준년월,지자체,KTO업종중분류명,소비금액,전년동기소비금액,구성비,전년대비소비증감률
202301,서울특별시,관광총소비,1.6691642E8,3.1479863E7,100.0,430.2
202301,서울특별시,콘도,98555.0,61839.0,0.1,59.4
202301,서울특별시,호텔,3.0370053E7,4958514.0,18.2,512.5
202301,서울특별시,캠핑장/펜션,690.0,0.0,0.0,0.0
202301,서울특별시,기타숙박,6017495.0,854977.0,3.6,603.8
202301,서울특별시,여행업,285049.0,36842.0,0.2,673.7
202301,서울특별시,항공운송,931471.0,245402.0,0.6,279.6
202301,서울특별시,렌터카,128958.0,26422.0,0.1,388.1
202301,서울특별시,면세점,8981266.0,1195220.0,5.4,651.4
202301,서울특별시,관광기념품,4640532.0,52369.0,2.8,8761.2
202301,서울특별시,레저용품쇼핑,3633977.0,543605.0,2.2,568.5
202301,서울특별시,대형쇼핑몰,5.5600577E7,1.3837192E7,33.3,301.8
202301,서울특별시,관광유원시설,143919.0,13674.0,0.1,952.5
202301,서울특별시,골프장,126658.0,54713.0,0.1,131.5
202301,서울특별시,기타레저,254.0,62.0,0.0,310.5
202301,서울특별시,문화서비스,304437.0,70421.0,0.2,332.3
202301,서울특별시,식음료,3.0492783E7,6861921.0,18.3,344.4
202301,서울특별시,육상운송,65270.0,15111.0,0.0,331.9
202301,서울특별시,수상운송,12632.0,2629.0,0.0,380.5
202301,서울특별시,카지노,2.5081844E7,2648950.0,15.0,846.9
202302,서울특별시,관광총소비,1.5940619E8,3.0701682E7,100.0,419.2
202302,서울특별시,호텔,3.1156997E7,5393925.0,19.5,477.6
202302,서울특별시,콘도,64680.0,51130.0,0.0,26.5
202302,서울특별시,캠핑장/펜션,600.0,0.0,0.0,0.0
202302,서울특별시,기타숙박,5976835.0,1181253.0,3.7,406.0
202302,서울특별시,여행업,304546.0,49340.0,0.2,517.2
202302,서울특별시,항공운송,727844.0,197318.0,0.5,268.9
202302,서울특별시,렌터카,91610.0,32170.0,0.1,184.8
202302,서울특별시,면세점,9036726.0,804371.0,5.7,1023.5
202302,서울특별시,관광기념품,3268974.0,58054.0,2.1,5530.9
202302,서울특별시,레저용품쇼핑,3889672.0,449707.0,2.4,764.9
202302,서울특별시,대형쇼핑몰,5.1687149E7,1.2684055E7,32.4,307.5
202302,서울특별시,관광유원시설,129580.0,12944.0,0.1,901.1
202302,서울특별시,골프장,104618.0,84553.0,0.1,23.7
202302,서울특별시,기타레저,149.0,0.0,0.0,0.0
202302,서울특별시,문화서비스,248225.0,76553.0,0.2,224.3
202302,서울특별시,식음료,2.9118197E7,6543091.0,18.3,345.0
202302,서울특별시,육상운송,56593.0,24096.0,0.0,134.9
202302,서울특별시,수상운송,18114.0,4974.0,0.0,264.2
202302,서울특별시,카지노,2.352508E7,3054150.0,14.8,670.3
202303,서울특별시,관광총소비,2.48683765E8,3.8442277E7,100.0,546.9
202303,서울특별시,콘도,89094.0,45885.0,0.0,94.2
202303,서울특별시,호텔,5.420828E7,7169678.0,21.8,656.1
202303,서울특별시,캠핑장/펜션,500.0,0.0,0.0,0.0
202303,서울특별시,기타숙박,1.2088587E7,1286729.0,4.9,839.5
202303,서울특별시,여행업,457688.0,109035.0,0.2,319.8
202303,서울특별시,항공운송,1093050.0,279727.0,0.4,290.8
202303,서울특별시,렌터카,140352.0,35077.0,0.1,300.1
202303,서울특별시,면세점,1.3881122E7,893592.0,5.6,1453.4
202303,서울특별시,관광기념품,5005609.0,65020.0,2.0,7598.6
202303,서울특별시,레저용품쇼핑,6514141.0,684907.0,2.6,851.1
202303,서울특별시,대형쇼핑몰,8.1757873E7,1.5003591E7,32.9,444.9
202303,서울특별시,관광유원시설,224980.0,17502.0,0.1,1185.5
202303,서울특별시,골프장,251163.0,123960.0,0.1,102.6
202303,서울특별시,기타레저,197.0,0.0,0.0,0.0
202303,서울특별시,문화서비스,280694.0,92737.0,0.1,202.7
202303,서울특별시,식음료,4.9652637E7,1.0067419E7,20.0,393.2
202303,서울특별시,육상운송,139500.0,43403.0,0.1,221.4
202303,서울특별시,수상운송,36797.0,10465.0,0.0,251.6
202303,서울특별시,카지노,2.28615E7,2513550.0,9.2,809.5
202304,서울특별시,관광총소비,3.37063908E8,6.1979703E7,100.0,443.8
202304,서울특별시,호텔,7.2842364E7,1.5202169E7,21.6,379.2
202304,서울특별시,콘도,189180.0,74684.0,0.1,153.3
202304,서울특별시,캠핑장/펜션,820.0,0.0,0.0,0.0
202304,서울특별시,기타숙박,1.7148463E7,2520963.0,5.1,580.2
202304,서울특별시,여행업,642057.0,115284.0,0.2,456.9
202304,서울특별시,항공운송,1075491.0,370073.0,0.3,190.6
202304,서울특별시,렌터카,201018.0,91652.0,0.1,119.3
202304,서울특별시,면세점,2.2113574E7,1845373.0,6.6,1098.3
202304,서울특별시,관광기념품,8797588.0,140691.0,2.6,6153.1
202304,서울특별시,레저용품쇼핑,7749892.0,1322504.0,2.3,486.0
202304,서울특별시,대형쇼핑몰,1.15725057E8,2.061064E7,34.3,461.5
202304,서울특별시,관광유원시설,420343.0,48593.0,0.1,765.0
202304,서울특별시,골프장,354580.0,126259.0,0.1,180.8
202304,서울특별시,기타레저,432.0,18.0,0.0,2301.6
202304,서울특별시,문화서비스,721073.0,176333.0,0.2,308.9
202304,서울특별시,식음료,6.4305687E7,1.6466174E7,19.1,290.5
202304,서울특별시,육상운송,168046.0,61912.0,0.0,171.4
202304,서울특별시,수상운송,59382.0,16300.0,0.0,264.3
202304,서울특별시,카지노,2.454886E7,2790081.0,7.3,779.9
202305,서울특별시,관광총소비,3.36180858E8,8.8933824E7,100.0,278.0
202305,서울특별시,호텔,6.9729954E7,2.4093258E7,20.7,189.4
202305,서울특별시,콘도,59065.0,61397.0,0.0,-3.8
202305,서울특별시,캠핑장/펜션,1220.0,0.0,0.0,0.0
202305,서울특별시,기타숙박,1.593882E7,3520431.0,4.7,352.8
202305,서울특별시,여행업,630496.0,222152.0,0.2,183.8
202305,서울특별시,항공운송,1174303.0,603961.0,0.3,94.4
202305,서울특별시,렌터카,191274.0,93366.0,0.1,104.9
202305,서울특별시,면세점,2.3586611E7,2709901.0,7.0,770.4
202305,서울특별시,관광기념품,6172850.0,238237.0,1.8,2491.1
202305,서울특별시,레저용품쇼핑,7880318.0,1616198.0,2.3,387.6
202305,서울특별시,대형쇼핑몰,1.17457062E8,2.9933354E7,34.9,292.4
202305,서울특별시,관광유원시설,436126.0,66347.0,0.1,557.3
202305,서울특별시,골프장,401679.0,206051.0,0.1,94.9
202305,서울특별시,기타레저,292.0,28.0,0.0,942.9
202305,서울특별시,문화서비스,602369.0,210633.0,0.2,186.0
